Distance_Meters,Youbike_Station,Metro_Station
2100,MRT Daan Park Sta.,MRT Chiang Kai-Shek Memorial Hall
550,MRT Daan Park Sta.,MRT Daan
500,MRT Daan Park Sta.,MRT Dongmen
2300,MRT Daan Park Sta.,MRT Gongguan
1900,MRT Daan Park Sta.,MRT Guting
5000,MRT Daan Park Sta.,MRT Jingmei
3400,MRT Daan Park Sta.,MRT Linguang
2600,MRT Daan Park Sta.,MRT Liuzhangli
2800,MRT Daan Park Sta.,MRT Nanjing Fuxing
2200,MRT Daan Park Sta.,MRT Shandao Temple
2200,MRT Daan Park Sta.,MRT Songjiang Nanjing
3000,MRT Daan Park Sta.,MRT Sun Yat-Sen Memorial Hall
2700,MRT Daan Park Sta.,MRT Taipei 101 World Trade Center
3600,MRT Daan Park Sta.,MRT Taipei City Hall
2000,MRT Daan Park Sta.,MRT Taipower Building
1400,MRT Daan Park Sta.,MRT Technology Building
3900,MRT Daan Park Sta.,MRT Wanlong
5100,MRT Daan Park Sta.,MRT Xinhai
1600,MRT Daan Park Sta.,MRT Xinyi Anhe
2100,MRT Daan Park Sta.,MRT Zhongxiao Dunhua
2100,MRT Daan Park Sta.,MRT Zhongxiao Fuxing
1000,MRT Daan Park Sta.,MRT Zhongxiao Xinsheng
4800,MRT Linguang Sta. (Exit 2),MRT Chiang Kai-Shek Memorial Hall
2600,MRT Linguang Sta. (Exit 2),MRT Daan
3500,MRT Linguang Sta. (Exit 2),MRT Daan Park
4000,MRT Linguang Sta. (Exit 2),MRT Dongmen
2900,MRT Linguang Sta. (Exit 2),MRT Gongguan
4000,MRT Linguang Sta. (Exit 2),MRT Guting
4900,MRT Linguang Sta. (Exit 2),MRT Jingmei
120,MRT Linguang Sta. (Exit 2),MRT Linguang
1100,MRT Linguang Sta. (Exit 2),MRT Liuzhangli
4800,MRT Linguang Sta. (Exit 2),MRT Nanjing Fuxing
5600,MRT Linguang Sta. (Exit 2),MRT Shandao Temple
5600,MRT Linguang Sta. (Exit 2),MRT Songjiang Nanjing
2900,MRT Linguang Sta. (Exit 2),MRT Sun Yat-Sen Memorial Hall
2200,MRT Linguang Sta. (Exit 2),MRT Taipei 101 World Trade Center
3200,MRT Linguang Sta. (Exit 2),MRT Taipei City Hall
3600,MRT Linguang Sta. (Exit 2),MRT Taipower Building
2100,MRT Linguang Sta. (Exit 2),MRT Technology Building
3900,MRT Linguang Sta. (Exit 2),MRT Wanlong
3300,MRT Linguang Sta. (Exit 2),MRT Xinhai
2100,MRT Linguang Sta. (Exit 2),MRT Xinyi Anhe
3100,MRT Linguang Sta. (Exit 2),MRT Zhongxiao Dunhua
3100,MRT Linguang Sta. (Exit 2),MRT Zhongxiao Fuxing
4500,MRT Linguang Sta. (Exit 2),MRT Zhongxiao Xinsheng
8100,LiuGong Park,MRT Chiang Kai-Shek Memorial Hall
7800,LiuGong Park,MRT Daan
7800,LiuGong Park,MRT Daan Park
7900,LiuGong Park,MRT Dongmen
5500,LiuGong Park,MRT Gongguan
7200,LiuGong Park,MRT Guting
3000,LiuGong Park,MRT Jingmei
7700,LiuGong Park,MRT Linguang
7000,LiuGong Park,MRT Liuzhangli
9900,LiuGong Park,MRT Nanjing Fuxing
9700,LiuGong Park,MRT Shandao Temple
9800,LiuGong Park,MRT Songjiang Nanjing
9200,LiuGong Park,MRT Sun Yat-Sen Memorial Hall
8600,LiuGong Park,MRT Taipei 101 World Trade Center
9600,LiuGong Park,MRT Taipei City Hall
6300,LiuGong Park,MRT Taipower Building
7000,LiuGong Park,MRT Technology Building
3900,LiuGong Park,MRT Wanlong
5400,LiuGong Park,MRT Xinhai
8300,LiuGong Park,MRT Xinyi Anhe
8900,LiuGong Park,MRT Zhongxiao Dunhua
8900,LiuGong Park,MRT Zhongxiao Fuxing
8600,LiuGong Park,MRT Zhongxiao Xinsheng
3000,MRT Technology Bldg. Sta.,MRT Chiang Kai-Shek Memorial Hall
